scenario_id,taxonomy_id,level,age_group,special_population_flags,setting,dispatch_information,scene_cues,safety_hazards,initial_impression,difficulty_1_to_5,terminal_outcome_type,verification_status
scn_aemt_000099,,aemt,school_age,pediatric,school,Agitated patient in apartment with family on scene.,Scene suggests behavioral crisis with safety concern; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need operations safety doc focused assessment.,3,refusal,draft
scn_aemt_000100,,aemt,adult,,industrial,Adult with increasing dyspnea after cold symptoms.,Scene suggests respiratory distress with wheezing; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need airway resp vent focused assessment.,4,stabilise,draft
scn_aemt_000101,,aemt,older_adult,,mass_gathering,Child with barking cough and stridor at night.,Scene suggests pediatric croup-like breathing; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need airway resp vent focused assessment.,4,stabilise,draft
scn_aemt_000102,,aemt,neonate,pediatric,home,Adult with pressure-like chest pain and nausea.,Scene suggests chest pain with diaphoresis; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need cardiology resus ecg focused assessment.,4,handover,draft
scn_aemt_000103,,aemt,infant,pediatric,public_place,"Young adult collapses after exertion, now awake but pale.",Scene suggests syncope at gym; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need cardiology resus ecg focused assessment.,4,handover,draft
scn_aemt_000104,,aemt,toddler,pediatric,roadway,Driver with leg wound and windshield damage.,Scene suggests motor vehicle crash with bleeding; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need trauma focused assessment.,4,handover,draft
scn_aemt_000105,,aemt,school_age,pediatric,school,Older adult fell from ladder with hip pain.,Scene suggests fall from height; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need trauma focused assessment.,4,handover,draft
scn_aemt_000106,,aemt,adolescent,,long_term_care,Confused patient with diaphoresis and slurred speech.,Scene suggests altered mental status diabetic; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need medical ob special focused assessment.,4,stabilise,draft
scn_aemt_000107,,aemt,adult,,industrial,Patient continues generalized seizure activity on arrival.,Scene suggests active seizure; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need medical ob special focused assessment.,4,stabilise,draft
scn_aemt_000108,,aemt,older_adult,,mass_gathering,Pregnant patient with crowning and contractions.,Scene suggests imminent delivery; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need medical ob special focused assessment.,4,handover,draft
scn_aemt_000109,,aemt,neonate,pediatric,home,Multiple patients after low-speed bus collision.,Scene suggests mci school bus incident; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need operations safety doc focused assessment.,4,debrief_only,draft
scn_aemt_000110,,aemt,infant,pediatric,public_place,Agitated patient in apartment with family on scene.,Scene suggests behavioral crisis with safety concern; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need operations safety doc focused assessment.,4,refusal,draft
scn_aemt_000111,,aemt,school_age,pediatric,school,Adult with increasing dyspnea after cold symptoms.,Scene suggests respiratory distress with wheezing; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need airway resp vent focused assessment.,5,stabilise,draft
scn_aemt_000112,,aemt,adolescent,,long_term_care,Child with barking cough and stridor at night.,Scene suggests pediatric croup-like breathing; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need airway resp vent focused assessment.,5,stabilise,draft
scn_aemt_000113,,aemt,adult,,industrial,Adult with pressure-like chest pain and nausea.,Scene suggests chest pain with diaphoresis; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need cardiology resus ecg focused assessment.,5,handover,draft
scn_aemt_000114,,aemt,older_adult,,mass_gathering,"Young adult collapses after exertion, now awake but pale.",Scene suggests syncope at gym; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need cardiology resus ecg focused assessment.,5,handover,draft
scn_aemt_000115,,aemt,neonate,pediatric,home,Driver with leg wound and windshield damage.,Scene suggests motor vehicle crash with bleeding; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need trauma focused assessment.,5,handover,draft
scn_aemt_000116,,aemt,infant,pediatric,public_place,Older adult fell from ladder with hip pain.,Scene suggests fall from height; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need trauma focused assessment.,5,handover,draft
scn_aemt_000117,,aemt,toddler,pediatric,roadway,Confused patient with diaphoresis and slurred speech.,Scene suggests altered mental status diabetic; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need medical ob special focused assessment.,5,stabilise,draft
scn_aemt_000118,,aemt,school_age,pediatric,school,Patient continues generalized seizure activity on arrival.,Scene suggests active seizure; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need medical ob special focused assessment.,5,stabilise,draft
scn_aemt_000119,,aemt,adolescent,,long_term_care,Pregnant patient with crowning and contractions.,Scene suggests imminent delivery; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need medical ob special focused assessment.,5,handover,draft
scn_aemt_000120,,aemt,adult,,industrial,Multiple patients after low-speed bus collision.,Scene suggests mci school bus incident; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need operations safety doc focused assessment.,5,debrief_only,draft
scn_aemt_000121,,aemt,older_adult,,mass_gathering,Agitated patient in apartment with family on scene.,Scene suggests behavioral crisis with safety concern; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need operations safety doc focused assessment.,5,refusal,draft
scn_paramedic_000122,,paramedic,adult,,home,Adult with increasing dyspnea after cold symptoms.,Scene suggests respiratory distress with wheezing; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need airway resp vent focused assessment.,1,stabilise,draft
scn_paramedic_000123,,paramedic,preschool,,home,Child with barking cough and stridor at night.,Scene suggests pediatric croup-like breathing; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need airway resp vent focused assessment.,1,stabilise,draft
scn_paramedic_000124,,paramedic,adult,,public_place,Adult with pressure-like chest pain and nausea.,Scene suggests chest pain with diaphoresis; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need cardiology resus ecg focused assessment.,1,handover,draft
scn_paramedic_000125,,paramedic,adolescent,,public_place,"Young adult collapses after exertion, now awake but pale.",Scene suggests syncope at gym; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need cardiology resus ecg focused assessment.,1,handover,draft
scn_paramedic_000126,,paramedic,adult,,roadway,Driver with leg wound and windshield damage.,Scene suggests motor vehicle crash with bleeding; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need trauma focused assessment.,1,handover,draft
scn_paramedic_000127,,paramedic,older_adult,,home,Older adult fell from ladder with hip pain.,Scene suggests fall from height; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need trauma focused assessment.,1,handover,draft
scn_paramedic_000128,,paramedic,adult,,home,Confused patient with diaphoresis and slurred speech.,Scene suggests altered mental status diabetic; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need medical ob special focused assessment.,1,stabilise,draft
scn_paramedic_000129,,paramedic,adolescent,,school,Patient continues generalized seizure activity on arrival.,Scene suggests active seizure; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need medical ob special focused assessment.,1,stabilise,draft
scn_paramedic_000130,,paramedic,adult,,home,Pregnant patient with crowning and contractions.,Scene suggests imminent delivery; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need medical ob special focused assessment.,1,handover,draft
scn_paramedic_000131,,paramedic,school_age,pediatric,roadway,Multiple patients after low-speed bus collision.,Scene suggests mci school bus incident; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need operations safety doc focused assessment.,1,debrief_only,draft
scn_paramedic_000132,,paramedic,adult,,home,Agitated patient in apartment with family on scene.,Scene suggests behavioral crisis with safety concern; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need operations safety doc focused assessment.,1,refusal,draft
scn_paramedic_000133,,paramedic,infant,pediatric,public_place,Adult with increasing dyspnea after cold symptoms.,Scene suggests respiratory distress with wheezing; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need airway resp vent focused assessment.,2,stabilise,draft
scn_paramedic_000134,,paramedic,toddler,pediatric,roadway,Child with barking cough and stridor at night.,Scene suggests pediatric croup-like breathing; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need airway resp vent focused assessment.,2,stabilise,draft
scn_paramedic_000135,,paramedic,school_age,pediatric,school,Adult with pressure-like chest pain and nausea.,Scene suggests chest pain with diaphoresis; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need cardiology resus ecg focused assessment.,2,handover,draft
scn_paramedic_000136,,paramedic,adolescent,,long_term_care,"Young adult collapses after exertion, now awake but pale.",Scene suggests syncope at gym; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need cardiology resus ecg focused assessment.,2,handover,draft
scn_paramedic_000137,,paramedic,adult,,industrial,Driver with leg wound and windshield damage.,Scene suggests motor vehicle crash with bleeding; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need trauma focused assessment.,2,handover,draft
scn_paramedic_000138,,paramedic,older_adult,,mass_gathering,Older adult fell from ladder with hip pain.,Scene suggests fall from height; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need trauma focused assessment.,2,handover,draft
scn_paramedic_000139,,paramedic,neonate,pediatric,home,Confused patient with diaphoresis and slurred speech.,Scene suggests altered mental status diabetic; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need medical ob special focused assessment.,2,stabilise,draft
scn_paramedic_000140,,paramedic,infant,pediatric,public_place,Patient continues generalized seizure activity on arrival.,Scene suggests active seizure; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need medical ob special focused assessment.,2,stabilise,draft
scn_paramedic_000141,,paramedic,toddler,pediatric,roadway,Pregnant patient with crowning and contractions.,Scene suggests imminent delivery; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need medical ob special focused assessment.,2,handover,draft
scn_paramedic_000142,,paramedic,school_age,pediatric,school,Multiple patients after low-speed bus collision.,Scene suggests mci school bus incident; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need operations safety doc focused assessment.,2,debrief_only,draft
scn_paramedic_000143,,paramedic,adolescent,,long_term_care,Agitated patient in apartment with family on scene.,Scene suggests behavioral crisis with safety concern; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need operations safety doc focused assessment.,2,refusal,draft
scn_paramedic_000144,,paramedic,older_adult,,mass_gathering,Adult with increasing dyspnea after cold symptoms.,Scene suggests respiratory distress with wheezing; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need airway resp vent focused assessment.,3,stabilise,draft
scn_paramedic_000145,,paramedic,neonate,pediatric,home,Child with barking cough and stridor at night.,Scene suggests pediatric croup-like breathing; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need airway resp vent focused assessment.,3,stabilise,draft
scn_paramedic_000146,,paramedic,infant,pediatric,public_place,Adult with pressure-like chest pain and nausea.,Scene suggests chest pain with diaphoresis; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need cardiology resus ecg focused assessment.,3,handover,draft
scn_paramedic_000147,,paramedic,toddler,pediatric,roadway,"Young adult collapses after exertion, now awake but pale.",Scene suggests syncope at gym; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need cardiology resus ecg focused assessment.,3,handover,draft
scn_paramedic_000148,,paramedic,school_age,pediatric,school,Driver with leg wound and windshield damage.,Scene suggests motor vehicle crash with bleeding; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need trauma focused assessment.,3,handover,draft
scn_paramedic_000149,,paramedic,adolescent,,long_term_care,Older adult fell from ladder with hip pain.,Scene suggests fall from height; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need trauma focused assessment.,3,handover,draft
scn_paramedic_000150,,paramedic,adult,,industrial,Confused patient with diaphoresis and slurred speech.,Scene suggests altered mental status diabetic; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need medical ob special focused assessment.,3,stabilise,draft
scn_paramedic_000151,,paramedic,older_adult,,mass_gathering,Patient continues generalized seizure activity on arrival.,Scene suggests active seizure; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need medical ob special focused assessment.,3,stabilise,draft
scn_paramedic_000152,,paramedic,neonate,pediatric,home,Pregnant patient with crowning and contractions.,Scene suggests imminent delivery; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need medical ob special focused assessment.,3,handover,draft
scn_paramedic_000153,,paramedic,infant,pediatric,public_place,Multiple patients after low-speed bus collision.,Scene suggests mci school bus incident; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need operations safety doc focused assessment.,3,debrief_only,draft
scn_paramedic_000154,,paramedic,toddler,pediatric,roadway,Agitated patient in apartment with family on scene.,Scene suggests behavioral crisis with safety concern; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need operations safety doc focused assessment.,3,refusal,draft
scn_paramedic_000155,,paramedic,adolescent,,long_term_care,Adult with increasing dyspnea after cold symptoms.,Scene suggests respiratory distress with wheezing; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need airway resp vent focused assessment.,4,stabilise,draft
scn_paramedic_000156,,paramedic,adult,,industrial,Child with barking cough and stridor at night.,Scene suggests pediatric croup-like breathing; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need airway resp vent focused assessment.,4,stabilise,draft
scn_paramedic_000157,,paramedic,older_adult,,mass_gathering,Adult with pressure-like chest pain and nausea.,Scene suggests chest pain with diaphoresis; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need cardiology resus ecg focused assessment.,4,handover,draft
scn_paramedic_000158,,paramedic,neonate,pediatric,home,"Young adult collapses after exertion, now awake but pale.",Scene suggests syncope at gym; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need cardiology resus ecg focused assessment.,4,handover,draft
scn_paramedic_000159,,paramedic,infant,pediatric,public_place,Driver with leg wound and windshield damage.,Scene suggests motor vehicle crash with bleeding; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need trauma focused assessment.,4,handover,draft
scn_paramedic_000160,,paramedic,toddler,pediatric,roadway,Older adult fell from ladder with hip pain.,Scene suggests fall from height; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need trauma focused assessment.,4,handover,draft
scn_paramedic_000161,,paramedic,school_age,pediatric,school,Confused patient with diaphoresis and slurred speech.,Scene suggests altered mental status diabetic; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need medical ob special focused assessment.,4,stabilise,draft
scn_paramedic_000162,,paramedic,adolescent,,long_term_care,Patient continues generalized seizure activity on arrival.,Scene suggests active seizure; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need medical ob special focused assessment.,4,stabilise,draft
scn_paramedic_000163,,paramedic,adult,,industrial,Pregnant patient with crowning and contractions.,Scene suggests imminent delivery; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need medical ob special focused assessment.,4,handover,draft
scn_paramedic_000164,,paramedic,older_adult,,mass_gathering,Multiple patients after low-speed bus collision.,Scene suggests mci school bus incident; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need operations safety doc focused assessment.,4,debrief_only,draft
scn_paramedic_000165,,paramedic,neonate,pediatric,home,Agitated patient in apartment with family on scene.,Scene suggests behavioral crisis with safety concern; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need operations safety doc focused assessment.,4,refusal,draft
scn_paramedic_000166,,paramedic,toddler,pediatric,roadway,Adult with increasing dyspnea after cold symptoms.,Scene suggests respiratory distress with wheezing; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need airway resp vent focused assessment.,5,stabilise,draft
scn_paramedic_000167,,paramedic,school_age,pediatric,school,Child with barking cough and stridor at night.,Scene suggests pediatric croup-like breathing; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need airway resp vent focused assessment.,5,stabilise,draft
scn_paramedic_000168,,paramedic,adolescent,,long_term_care,Adult with pressure-like chest pain and nausea.,Scene suggests chest pain with diaphoresis; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need cardiology resus ecg focused assessment.,5,handover,draft
scn_paramedic_000169,,paramedic,adult,,industrial,"Young adult collapses after exertion, now awake but pale.",Scene suggests syncope at gym; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need cardiology resus ecg focused assessment.,5,handover,draft
scn_paramedic_000170,,paramedic,older_adult,,mass_gathering,Driver with leg wound and windshield damage.,Scene suggests motor vehicle crash with bleeding; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need trauma focused assessment.,5,handover,draft
scn_paramedic_000171,,paramedic,neonate,pediatric,home,Older adult fell from ladder with hip pain.,Scene suggests fall from height; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need trauma focused assessment.,5,handover,draft
scn_paramedic_000172,,paramedic,infant,pediatric,public_place,Confused patient with diaphoresis and slurred speech.,Scene suggests altered mental status diabetic; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need medical ob special focused assessment.,5,stabilise,draft
scn_paramedic_000173,,paramedic,toddler,pediatric,roadway,Patient continues generalized seizure activity on arrival.,Scene suggests active seizure; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need medical ob special focused assessment.,5,stabilise,draft
scn_paramedic_000174,,paramedic,school_age,pediatric,school,Pregnant patient with crowning and contractions.,Scene suggests imminent delivery; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need medical ob special focused assessment.,5,handover,draft
scn_paramedic_000175,,paramedic,adolescent,,long_term_care,Multiple patients after low-speed bus collision.,Scene suggests mci school bus incident; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need operations safety doc focused assessment.,5,debrief_only,draft
scn_paramedic_000176,,paramedic,adult,,industrial,Agitated patient in apartment with family on scene.,Scene suggests behavioral crisis with safety concern; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need operations safety doc focused assessment.,5,refusal,draft
scn_paramedic_000177,,paramedic,neonate,pediatric,home,Adult with increasing dyspnea after cold symptoms.,Scene suggests respiratory distress with wheezing; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need airway resp vent focused assessment.,1,stabilise,draft
scn_paramedic_000178,,paramedic,infant,pediatric,public_place,Child with barking cough and stridor at night.,Scene suggests pediatric croup-like breathing; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need airway resp vent focused assessment.,1,stabilise,draft
scn_paramedic_000179,,paramedic,toddler,pediatric,roadway,Adult with pressure-like chest pain and nausea.,Scene suggests chest pain with diaphoresis; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need cardiology resus ecg focused assessment.,1,handover,draft
scn_paramedic_000180,,paramedic,school_age,pediatric,school,"Young adult collapses after exertion, now awake but pale.",Scene suggests syncope at gym; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need cardiology resus ecg focused assessment.,1,handover,draft
scn_paramedic_000181,,paramedic,adolescent,,long_term_care,Driver with leg wound and windshield damage.,Scene suggests motor vehicle crash with bleeding; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need trauma focused assessment.,1,handover,draft
scn_paramedic_000182,,paramedic,adult,,industrial,Older adult fell from ladder with hip pain.,Scene suggests fall from height; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need trauma focused assessment.,1,handover,draft
scn_paramedic_000183,,paramedic,older_adult,,mass_gathering,Confused patient with diaphoresis and slurred speech.,Scene suggests altered mental status diabetic; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need medical ob special focused assessment.,1,stabilise,draft
scn_paramedic_000184,,paramedic,neonate,pediatric,home,Patient continues generalized seizure activity on arrival.,Scene suggests active seizure; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need medical ob special focused assessment.,1,stabilise,draft
scn_paramedic_000185,,paramedic,infant,pediatric,public_place,Pregnant patient with crowning and contractions.,Scene suggests imminent delivery; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need medical ob special focused assessment.,1,handover,draft
scn_paramedic_000186,,paramedic,toddler,pediatric,roadway,Multiple patients after low-speed bus collision.,Scene suggests mci school bus incident; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need operations safety doc focused assessment.,1,debrief_only,draft
scn_paramedic_000187,,paramedic,school_age,pediatric,school,Agitated patient in apartment with family on scene.,Scene suggests behavioral crisis with safety concern; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need operations safety doc focused assessment.,1,refusal,draft
