rationale_id,question_id,option_id_nullable,rationale_type,rationale_text
rat_000627,q_emt_000126,opt_000502,incorrect_option,The other options may matter but are not the highest immediate priority.
rat_000628,q_emt_000126,opt_000503,incorrect_option,The other options may matter but are not the highest immediate priority.
rat_000629,q_emt_000126,opt_000504,incorrect_option,The other options may matter but are not the highest immediate priority.
rat_000630,q_emt_000126,,teaching_point,Review Radio Report and repeat a linked scenario if missed twice.
rat_000631,q_emt_000127,opt_000505,incorrect_option,The distractors delay assessment or treatment.
rat_000632,q_emt_000127,opt_000506,correct,Primary assessment and life threats come before detailed history.
rat_000633,q_emt_000127,opt_000507,incorrect_option,The distractors delay assessment or treatment.
rat_000634,q_emt_000127,opt_000508,incorrect_option,The distractors delay assessment or treatment.
rat_000635,q_emt_000127,,teaching_point,Review Documentation and repeat a linked scenario if missed twice.
rat_000636,q_emt_000128,opt_000509,correct,Hypotension and altered mental status suggest poor perfusion or serious illness.
rat_000637,q_emt_000128,opt_000510,incorrect_option,The other choices alone do not carry the same immediate acuity.
rat_000638,q_emt_000128,opt_000511,correct,Hypotension and altered mental status suggest poor perfusion or serious illness.
rat_000639,q_emt_000128,opt_000512,incorrect_option,The other choices alone do not carry the same immediate acuity.
rat_000640,q_emt_000128,,teaching_point,Review Legal Consent and repeat a linked scenario if missed twice.
rat_000641,q_emt_000129,opt_000513,incorrect_option,The other actions delay patient-centered care.
rat_000642,q_emt_000129,opt_000514,incorrect_option,The other actions delay patient-centered care.
rat_000643,q_emt_000129,opt_000515,incorrect_option,The other actions delay patient-centered care.
rat_000644,q_emt_000129,opt_000516,correct,"Deterioration requires reassessment, intervention, and communication."
rat_000645,q_emt_000129,,teaching_point,Review Refusal and repeat a linked scenario if missed twice.
rat_000646,q_emt_000130,opt_000517,correct,Trends and response guide receiving care.
rat_000647,q_emt_000130,opt_000518,incorrect_option,The other options are irrelevant or unsafe.
rat_000648,q_emt_000130,opt_000519,incorrect_option,The other options are irrelevant or unsafe.
rat_000649,q_emt_000130,opt_000520,incorrect_option,The other options are irrelevant or unsafe.
rat_000650,q_emt_000130,,teaching_point,Review Interfacility and repeat a linked scenario if missed twice.
rat_000651,q_emt_000131,opt_000521,correct,Airway compromise threatens oxygenation and ventilation first.
rat_000652,q_emt_000131,opt_000522,incorrect_option,The other options may matter but are not the highest immediate priority.
rat_000653,q_emt_000131,opt_000523,incorrect_option,The other options may matter but are not the highest immediate priority.
rat_000654,q_emt_000131,opt_000524,incorrect_option,The other options may matter but are not the highest immediate priority.
rat_000655,q_emt_000131,,teaching_point,Review Wellness Resilience and repeat a linked scenario if missed twice.
rat_000656,q_emt_000132,opt_000525,incorrect_option,The distractors delay assessment or treatment.
rat_000657,q_emt_000132,opt_000526,correct,Primary assessment and life threats come before detailed history.
rat_000658,q_emt_000132,opt_000527,incorrect_option,The distractors delay assessment or treatment.
rat_000659,q_emt_000132,opt_000528,incorrect_option,The distractors delay assessment or treatment.
rat_000660,q_emt_000132,,teaching_point,Review Ambulance Ops and repeat a linked scenario if missed twice.
rat_000661,q_emt_000133,opt_000529,correct,Hypotension and altered mental status suggest poor perfusion or serious illness.
rat_000662,q_emt_000133,opt_000530,incorrect_option,The other choices alone do not carry the same immediate acuity.
rat_000663,q_emt_000133,opt_000531,correct,Hypotension and altered mental status suggest poor perfusion or serious illness.
rat_000664,q_emt_000133,opt_000532,incorrect_option,The other choices alone do not carry the same immediate acuity.
rat_000665,q_emt_000133,,teaching_point,Review Quality Improvement and repeat a linked scenario if missed twice.
rat_000666,q_emt_000134,opt_000533,incorrect_option,The other actions delay patient-centered care.
rat_000667,q_emt_000134,opt_000534,incorrect_option,The other actions delay patient-centered care.
rat_000668,q_emt_000134,opt_000535,incorrect_option,The other actions delay patient-centered care.
rat_000669,q_emt_000134,opt_000536,correct,"Deterioration requires reassessment, intervention, and communication."
rat_000670,q_emt_000134,,teaching_point,Review Anatomy Physiology and repeat a linked scenario if missed twice.
rat_000671,q_emt_000135,opt_000537,correct,Trends and response guide receiving care.
rat_000672,q_emt_000135,opt_000538,incorrect_option,The other options are irrelevant or unsafe.
rat_000673,q_emt_000135,opt_000539,incorrect_option,The other options are irrelevant or unsafe.
rat_000674,q_emt_000135,opt_000540,incorrect_option,The other options are irrelevant or unsafe.
rat_000675,q_emt_000135,,teaching_point,Review Medical Terminology and repeat a linked scenario if missed twice.
rat_000676,q_emt_000136,opt_000541,correct,Airway compromise threatens oxygenation and ventilation first.
rat_000677,q_emt_000136,opt_000542,incorrect_option,The other options may matter but are not the highest immediate priority.
rat_000678,q_emt_000136,opt_000543,incorrect_option,The other options may matter but are not the highest immediate priority.
rat_000679,q_emt_000136,opt_000544,incorrect_option,The other options may matter but are not the highest immediate priority.
rat_000680,q_emt_000136,,teaching_point,Review Pathophysiology and repeat a linked scenario if missed twice.
rat_000681,q_emt_000137,opt_000545,incorrect_option,The distractors delay assessment or treatment.
rat_000682,q_emt_000137,opt_000546,correct,Primary assessment and life threats come before detailed history.
rat_000683,q_emt_000137,opt_000547,incorrect_option,The distractors delay assessment or treatment.
rat_000684,q_emt_000137,opt_000548,incorrect_option,The distractors delay assessment or treatment.
rat_000685,q_emt_000137,,teaching_point,Review Pharmacology Basics and repeat a linked scenario if missed twice.
rat_000686,q_emt_000138,opt_000549,correct,Hypotension and altered mental status suggest poor perfusion or serious illness.
rat_000687,q_emt_000138,opt_000550,incorrect_option,The other choices alone do not carry the same immediate acuity.
rat_000688,q_emt_000138,opt_000551,correct,Hypotension and altered mental status suggest poor perfusion or serious illness.
rat_000689,q_emt_000138,opt_000552,incorrect_option,The other choices alone do not carry the same immediate acuity.
rat_000690,q_emt_000138,,teaching_point,Review Medication Math and repeat a linked scenario if missed twice.
rat_000691,q_emt_000139,opt_000553,incorrect_option,The other actions delay patient-centered care.
rat_000692,q_emt_000139,opt_000554,incorrect_option,The other actions delay patient-centered care.
rat_000693,q_emt_000139,opt_000555,incorrect_option,The other actions delay patient-centered care.
rat_000694,q_emt_000139,opt_000556,correct,"Deterioration requires reassessment, intervention, and communication."
rat_000695,q_emt_000139,,teaching_point,Review Ecg Fundamentals and repeat a linked scenario if missed twice.
rat_000696,q_emt_000140,opt_000557,correct,Trends and response guide receiving care.
rat_000697,q_emt_000140,opt_000558,incorrect_option,The other options are irrelevant or unsafe.
rat_000698,q_emt_000140,opt_000559,incorrect_option,The other options are irrelevant or unsafe.
rat_000699,q_emt_000140,opt_000560,incorrect_option,The other options are irrelevant or unsafe.
rat_000700,q_emt_000140,,teaching_point,Review Vital Signs and repeat a linked scenario if missed twice.
rat_000701,q_emt_000141,opt_000561,correct,Airway compromise threatens oxygenation and ventilation first.
rat_000702,q_emt_000141,opt_000562,incorrect_option,The other options may matter but are not the highest immediate priority.
rat_000703,q_emt_000141,opt_000563,incorrect_option,The other options may matter but are not the highest immediate priority.
rat_000704,q_emt_000141,opt_000564,incorrect_option,The other options may matter but are not the highest immediate priority.
rat_000705,q_emt_000141,,teaching_point,Review Assessment Frameworks and repeat a linked scenario if missed twice.
rat_000706,q_emt_000142,opt_000565,incorrect_option,The distractors delay assessment or treatment.
rat_000707,q_emt_000142,opt_000566,correct,Primary assessment and life threats come before detailed history.
rat_000708,q_emt_000142,opt_000567,incorrect_option,The distractors delay assessment or treatment.
rat_000709,q_emt_000142,opt_000568,incorrect_option,The distractors delay assessment or treatment.
rat_000710,q_emt_000142,,teaching_point,Review Communication and repeat a linked scenario if missed twice.
rat_000711,q_emt_000143,opt_000569,correct,Hypotension and altered mental status suggest poor perfusion or serious illness.
rat_000712,q_emt_000143,opt_000570,incorrect_option,The other choices alone do not carry the same immediate acuity.
rat_000713,q_emt_000143,opt_000571,correct,Hypotension and altered mental status suggest poor perfusion or serious illness.
rat_000714,q_emt_000143,opt_000572,incorrect_option,The other choices alone do not carry the same immediate acuity.
rat_000715,q_emt_000143,,teaching_point,Review Ethics and repeat a linked scenario if missed twice.
rat_000716,q_emt_000144,opt_000573,incorrect_option,The other actions delay patient-centered care.
rat_000717,q_emt_000144,opt_000574,incorrect_option,The other actions delay patient-centered care.
rat_000718,q_emt_000144,opt_000575,incorrect_option,The other actions delay patient-centered care.
rat_000719,q_emt_000144,opt_000576,correct,"Deterioration requires reassessment, intervention, and communication."
rat_000720,q_emt_000144,,teaching_point,Review Airway Anatomy and repeat a linked scenario if missed twice.
rat_000721,q_emt_000145,opt_000577,correct,Trends and response guide receiving care.
rat_000722,q_emt_000145,opt_000578,incorrect_option,The other options are irrelevant or unsafe.
rat_000723,q_emt_000145,opt_000579,incorrect_option,The other options are irrelevant or unsafe.
rat_000724,q_emt_000145,opt_000580,incorrect_option,The other options are irrelevant or unsafe.
rat_000725,q_emt_000145,,teaching_point,Review Airway Assessment and repeat a linked scenario if missed twice.
rat_000726,q_emt_000146,opt_000581,correct,Airway compromise threatens oxygenation and ventilation first.
rat_000727,q_emt_000146,opt_000582,incorrect_option,The other options may matter but are not the highest immediate priority.
rat_000728,q_emt_000146,opt_000583,incorrect_option,The other options may matter but are not the highest immediate priority.
rat_000729,q_emt_000146,opt_000584,incorrect_option,The other options may matter but are not the highest immediate priority.
rat_000730,q_emt_000146,,teaching_point,Review Oxygen Delivery and repeat a linked scenario if missed twice.
rat_000731,q_emt_000147,opt_000585,incorrect_option,The distractors delay assessment or treatment.
rat_000732,q_emt_000147,opt_000586,correct,Primary assessment and life threats come before detailed history.
rat_000733,q_emt_000147,opt_000587,incorrect_option,The distractors delay assessment or treatment.
rat_000734,q_emt_000147,opt_000588,incorrect_option,The distractors delay assessment or treatment.
rat_000735,q_emt_000147,,teaching_point,Review Bvm Ventilation and repeat a linked scenario if missed twice.
rat_000736,q_emt_000148,opt_000589,correct,Hypotension and altered mental status suggest poor perfusion or serious illness.
rat_000737,q_emt_000148,opt_000590,incorrect_option,The other choices alone do not carry the same immediate acuity.
rat_000738,q_emt_000148,opt_000591,correct,Hypotension and altered mental status suggest poor perfusion or serious illness.
rat_000739,q_emt_000148,opt_000592,incorrect_option,The other choices alone do not carry the same immediate acuity.
rat_000740,q_emt_000148,,teaching_point,Review Suctioning and repeat a linked scenario if missed twice.
rat_000741,q_emt_000149,opt_000593,incorrect_option,The other actions delay patient-centered care.
rat_000742,q_emt_000149,opt_000594,incorrect_option,The other actions delay patient-centered care.
rat_000743,q_emt_000149,opt_000595,incorrect_option,The other actions delay patient-centered care.
rat_000744,q_emt_000149,opt_000596,correct,"Deterioration requires reassessment, intervention, and communication."
rat_000745,q_emt_000149,,teaching_point,Review Adjuncts and repeat a linked scenario if missed twice.
rat_000746,q_emt_000150,opt_000597,correct,Trends and response guide receiving care.
rat_000747,q_emt_000150,opt_000598,incorrect_option,The other options are irrelevant or unsafe.
rat_000748,q_emt_000150,opt_000599,incorrect_option,The other options are irrelevant or unsafe.
rat_000749,q_emt_000150,opt_000600,incorrect_option,The other options are irrelevant or unsafe.
rat_000750,q_emt_000150,,teaching_point,Review Cpap and repeat a linked scenario if missed twice.
rat_000751,q_emt_000151,opt_000601,correct,Airway compromise threatens oxygenation and ventilation first.
rat_000752,q_emt_000151,opt_000602,incorrect_option,The other options may matter but are not the highest immediate priority.
rat_000753,q_emt_000151,opt_000603,incorrect_option,The other options may matter but are not the highest immediate priority.
rat_000754,q_emt_000151,opt_000604,incorrect_option,The other options may matter but are not the highest immediate priority.
rat_000755,q_emt_000151,,teaching_point,Review Respiratory Distress and repeat a linked scenario if missed twice.
rat_000756,q_emt_000152,opt_000605,incorrect_option,The distractors delay assessment or treatment.
rat_000757,q_emt_000152,opt_000606,correct,Primary assessment and life threats come before detailed history.
rat_000758,q_emt_000152,opt_000607,incorrect_option,The distractors delay assessment or treatment.
rat_000759,q_emt_000152,opt_000608,incorrect_option,The distractors delay assessment or treatment.
rat_000760,q_emt_000152,,teaching_point,Review Asthma Copd and repeat a linked scenario if missed twice.
rat_000761,q_emt_000153,opt_000609,correct,Hypotension and altered mental status suggest poor perfusion or serious illness.
rat_000762,q_emt_000153,opt_000610,incorrect_option,The other choices alone do not carry the same immediate acuity.
rat_000763,q_emt_000153,opt_000611,correct,Hypotension and altered mental status suggest poor perfusion or serious illness.
rat_000764,q_emt_000153,opt_000612,incorrect_option,The other choices alone do not carry the same immediate acuity.
rat_000765,q_emt_000153,,teaching_point,Review Pulmonary Edema and repeat a linked scenario if missed twice.
rat_000766,q_emt_000154,opt_000613,incorrect_option,The other actions delay patient-centered care.
rat_000767,q_emt_000154,opt_000614,incorrect_option,The other actions delay patient-centered care.
rat_000768,q_emt_000154,opt_000615,incorrect_option,The other actions delay patient-centered care.
rat_000769,q_emt_000154,opt_000616,correct,"Deterioration requires reassessment, intervention, and communication."
rat_000770,q_emt_000154,,teaching_point,Review Anaphylaxis Airway and repeat a linked scenario if missed twice.
rat_000771,q_emt_000155,opt_000617,correct,Trends and response guide receiving care.
rat_000772,q_emt_000155,opt_000618,incorrect_option,The other options are irrelevant or unsafe.
rat_000773,q_emt_000155,opt_000619,incorrect_option,The other options are irrelevant or unsafe.
rat_000774,q_emt_000155,opt_000620,incorrect_option,The other options are irrelevant or unsafe.
rat_000775,q_emt_000155,,teaching_point,Review Ventilation Monitoring and repeat a linked scenario if missed twice.
rat_000776,q_emt_000156,opt_000621,correct,Airway compromise threatens oxygenation and ventilation first.
rat_000777,q_emt_000156,opt_000622,incorrect_option,The other options may matter but are not the highest immediate priority.
rat_000778,q_emt_000156,opt_000623,incorrect_option,The other options may matter but are not the highest immediate priority.
rat_000779,q_emt_000156,opt_000624,incorrect_option,The other options may matter but are not the highest immediate priority.
rat_000780,q_emt_000156,,teaching_point,Review Cardiac Anatomy and repeat a linked scenario if missed twice.
rat_000781,q_emt_000157,opt_000625,incorrect_option,The distractors delay assessment or treatment.
rat_000782,q_emt_000157,opt_000626,correct,Primary assessment and life threats come before detailed history.
rat_000783,q_emt_000157,opt_000627,incorrect_option,The distractors delay assessment or treatment.
rat_000784,q_emt_000157,opt_000628,incorrect_option,The distractors delay assessment or treatment.
rat_000785,q_emt_000157,,teaching_point,Review Chest Pain and repeat a linked scenario if missed twice.
rat_000786,q_emt_000158,opt_000629,correct,Hypotension and altered mental status suggest poor perfusion or serious illness.
rat_000787,q_emt_000158,opt_000630,incorrect_option,The other choices alone do not carry the same immediate acuity.
rat_000788,q_emt_000158,opt_000631,correct,Hypotension and altered mental status suggest poor perfusion or serious illness.
rat_000789,q_emt_000158,opt_000632,incorrect_option,The other choices alone do not carry the same immediate acuity.
rat_000790,q_emt_000158,,teaching_point,Review Acs and repeat a linked scenario if missed twice.
rat_000791,q_emt_000159,opt_000633,incorrect_option,The other actions delay patient-centered care.
rat_000792,q_emt_000159,opt_000634,incorrect_option,The other actions delay patient-centered care.
rat_000793,q_emt_000159,opt_000635,incorrect_option,The other actions delay patient-centered care.
rat_000794,q_emt_000159,opt_000636,correct,"Deterioration requires reassessment, intervention, and communication."
rat_000795,q_emt_000159,,teaching_point,Review Heart Failure and repeat a linked scenario if missed twice.
rat_000796,q_emt_000160,opt_000637,correct,Trends and response guide receiving care.
rat_000797,q_emt_000160,opt_000638,incorrect_option,The other options are irrelevant or unsafe.
rat_000798,q_emt_000160,opt_000639,incorrect_option,The other options are irrelevant or unsafe.
rat_000799,q_emt_000160,opt_000640,incorrect_option,The other options are irrelevant or unsafe.
rat_000800,q_emt_000160,,teaching_point,Review Cardiac Arrest and repeat a linked scenario if missed twice.
rat_000801,q_aemt_000161,opt_000641,correct,Airway compromise threatens oxygenation and ventilation first.
rat_000802,q_aemt_000161,opt_000642,incorrect_option,The other options may matter but are not the highest immediate priority.
rat_000803,q_aemt_000161,opt_000643,incorrect_option,The other options may matter but are not the highest immediate priority.
rat_000804,q_aemt_000161,opt_000644,incorrect_option,The other options may matter but are not the highest immediate priority.
rat_000805,q_aemt_000161,,teaching_point,Review Bradycardia and repeat a linked scenario if missed twice.
rat_000806,q_aemt_000162,opt_000645,incorrect_option,The distractors delay assessment or treatment.
rat_000807,q_aemt_000162,opt_000646,correct,Primary assessment and life threats come before detailed history.
rat_000808,q_aemt_000162,opt_000647,incorrect_option,The distractors delay assessment or treatment.
rat_000809,q_aemt_000162,opt_000648,incorrect_option,The distractors delay assessment or treatment.
rat_000810,q_aemt_000162,,teaching_point,Review Tachycardia and repeat a linked scenario if missed twice.
rat_000811,q_aemt_000163,opt_000649,correct,Hypotension and altered mental status suggest poor perfusion or serious illness.
rat_000812,q_aemt_000163,opt_000650,incorrect_option,The other choices alone do not carry the same immediate acuity.
rat_000813,q_aemt_000163,opt_000651,correct,Hypotension and altered mental status suggest poor perfusion or serious illness.
rat_000814,q_aemt_000163,opt_000652,incorrect_option,The other choices alone do not carry the same immediate acuity.
rat_000815,q_aemt_000163,,teaching_point,Review Shockable Rhythms and repeat a linked scenario if missed twice.
rat_000816,q_aemt_000164,opt_000653,incorrect_option,The other actions delay patient-centered care.
rat_000817,q_aemt_000164,opt_000654,incorrect_option,The other actions delay patient-centered care.
rat_000818,q_aemt_000164,opt_000655,incorrect_option,The other actions delay patient-centered care.
rat_000819,q_aemt_000164,opt_000656,correct,"Deterioration requires reassessment, intervention, and communication."
rat_000820,q_aemt_000164,,teaching_point,Review Ecg Basics and repeat a linked scenario if missed twice.
rat_000821,q_aemt_000165,opt_000657,correct,Trends and response guide receiving care.
rat_000822,q_aemt_000165,opt_000658,incorrect_option,The other options are irrelevant or unsafe.
rat_000823,q_aemt_000165,opt_000659,incorrect_option,The other options are irrelevant or unsafe.
rat_000824,q_aemt_000165,opt_000660,incorrect_option,The other options are irrelevant or unsafe.
rat_000825,q_aemt_000165,,teaching_point,Review Twelve Lead and repeat a linked scenario if missed twice.
rat_000826,q_aemt_000166,opt_000661,correct,Airway compromise threatens oxygenation and ventilation first.
rat_000827,q_aemt_000166,opt_000662,incorrect_option,The other options may matter but are not the highest immediate priority.
rat_000828,q_aemt_000166,opt_000663,incorrect_option,The other options may matter but are not the highest immediate priority.
rat_000829,q_aemt_000166,opt_000664,incorrect_option,The other options may matter but are not the highest immediate priority.
rat_000830,q_aemt_000166,,teaching_point,Review Stemi Recognition and repeat a linked scenario if missed twice.
rat_000831,q_aemt_000167,opt_000665,incorrect_option,The distractors delay assessment or treatment.
rat_000832,q_aemt_000167,opt_000666,correct,Primary assessment and life threats come before detailed history.
rat_000833,q_aemt_000167,opt_000667,incorrect_option,The distractors delay assessment or treatment.
rat_000834,q_aemt_000167,opt_000668,incorrect_option,The distractors delay assessment or treatment.
rat_000835,q_aemt_000167,,teaching_point,Review Post Rosc and repeat a linked scenario if missed twice.
rat_000836,q_aemt_000168,opt_000669,correct,Hypotension and altered mental status suggest poor perfusion or serious illness.
rat_000837,q_aemt_000168,opt_000670,incorrect_option,The other choices alone do not carry the same immediate acuity.
rat_000838,q_aemt_000168,opt_000671,correct,Hypotension and altered mental status suggest poor perfusion or serious illness.
rat_000839,q_aemt_000168,opt_000672,incorrect_option,The other choices alone do not carry the same immediate acuity.
rat_000840,q_aemt_000168,,teaching_point,Review Bleeding Control and repeat a linked scenario if missed twice.
rat_000841,q_aemt_000169,opt_000673,incorrect_option,The other actions delay patient-centered care.
rat_000842,q_aemt_000169,opt_000674,incorrect_option,The other actions delay patient-centered care.
rat_000843,q_aemt_000169,opt_000675,incorrect_option,The other actions delay patient-centered care.
rat_000844,q_aemt_000169,opt_000676,correct,"Deterioration requires reassessment, intervention, and communication."
rat_000845,q_aemt_000169,,teaching_point,Review Shock Trauma and repeat a linked scenario if missed twice.
rat_000846,q_aemt_000170,opt_000677,correct,Trends and response guide receiving care.
rat_000847,q_aemt_000170,opt_000678,incorrect_option,The other options are irrelevant or unsafe.
rat_000848,q_aemt_000170,opt_000679,incorrect_option,The other options are irrelevant or unsafe.
rat_000849,q_aemt_000170,opt_000680,incorrect_option,The other options are irrelevant or unsafe.
rat_000850,q_aemt_000170,,teaching_point,Review Head Injury and repeat a linked scenario if missed twice.
rat_000851,q_aemt_000171,opt_000681,correct,Airway compromise threatens oxygenation and ventilation first.
rat_000852,q_aemt_000171,opt_000682,incorrect_option,The other options may matter but are not the highest immediate priority.
rat_000853,q_aemt_000171,opt_000683,incorrect_option,The other options may matter but are not the highest immediate priority.
rat_000854,q_aemt_000171,opt_000684,incorrect_option,The other options may matter but are not the highest immediate priority.
rat_000855,q_aemt_000171,,teaching_point,Review Spinal Motion and repeat a linked scenario if missed twice.
rat_000856,q_aemt_000172,opt_000685,incorrect_option,The distractors delay assessment or treatment.
rat_000857,q_aemt_000172,opt_000686,correct,Primary assessment and life threats come before detailed history.
rat_000858,q_aemt_000172,opt_000687,incorrect_option,The distractors delay assessment or treatment.
rat_000859,q_aemt_000172,opt_000688,incorrect_option,The distractors delay assessment or treatment.
rat_000860,q_aemt_000172,,teaching_point,Review Chest Trauma and repeat a linked scenario if missed twice.
rat_000861,q_aemt_000173,opt_000689,correct,Hypotension and altered mental status suggest poor perfusion or serious illness.
rat_000862,q_aemt_000173,opt_000690,incorrect_option,The other choices alone do not carry the same immediate acuity.
rat_000863,q_aemt_000173,opt_000691,correct,Hypotension and altered mental status suggest poor perfusion or serious illness.
rat_000864,q_aemt_000173,opt_000692,incorrect_option,The other choices alone do not carry the same immediate acuity.
rat_000865,q_aemt_000173,,teaching_point,Review Abdominal Trauma and repeat a linked scenario if missed twice.
rat_000866,q_aemt_000174,opt_000693,incorrect_option,The other actions delay patient-centered care.
rat_000867,q_aemt_000174,opt_000694,incorrect_option,The other actions delay patient-centered care.
rat_000868,q_aemt_000174,opt_000695,incorrect_option,The other actions delay patient-centered care.
rat_000869,q_aemt_000174,opt_000696,correct,"Deterioration requires reassessment, intervention, and communication."
rat_000870,q_aemt_000174,,teaching_point,Review Pelvic Injury and repeat a linked scenario if missed twice.
rat_000871,q_aemt_000175,opt_000697,correct,Trends and response guide receiving care.
rat_000872,q_aemt_000175,opt_000698,incorrect_option,The other options are irrelevant or unsafe.
rat_000873,q_aemt_000175,opt_000699,incorrect_option,The other options are irrelevant or unsafe.
rat_000874,q_aemt_000175,opt_000700,incorrect_option,The other options are irrelevant or unsafe.
rat_000875,q_aemt_000175,,teaching_point,Review Extremity Injury and repeat a linked scenario if missed twice.
rat_000876,q_aemt_000176,opt_000701,correct,Airway compromise threatens oxygenation and ventilation first.
rat_000877,q_aemt_000176,opt_000702,incorrect_option,The other options may matter but are not the highest immediate priority.
rat_000878,q_aemt_000176,opt_000703,incorrect_option,The other options may matter but are not the highest immediate priority.
rat_000879,q_aemt_000176,opt_000704,incorrect_option,The other options may matter but are not the highest immediate priority.
rat_000880,q_aemt_000176,,teaching_point,Review Burns and repeat a linked scenario if missed twice.
rat_000881,q_aemt_000177,opt_000705,incorrect_option,The distractors delay assessment or treatment.
rat_000882,q_aemt_000177,opt_000706,correct,Primary assessment and life threats come before detailed history.
rat_000883,q_aemt_000177,opt_000707,incorrect_option,The distractors delay assessment or treatment.
rat_000884,q_aemt_000177,opt_000708,incorrect_option,The distractors delay assessment or treatment.
rat_000885,q_aemt_000177,,teaching_point,Review Crush Injury and repeat a linked scenario if missed twice.
rat_000886,q_aemt_000178,opt_000709,correct,Hypotension and altered mental status suggest poor perfusion or serious illness.
rat_000887,q_aemt_000178,opt_000710,incorrect_option,The other choices alone do not carry the same immediate acuity.
rat_000888,q_aemt_000178,opt_000711,correct,Hypotension and altered mental status suggest poor perfusion or serious illness.
rat_000889,q_aemt_000178,opt_000712,incorrect_option,The other choices alone do not carry the same immediate acuity.
rat_000890,q_aemt_000178,,teaching_point,Review Trauma Triage and repeat a linked scenario if missed twice.
rat_000891,q_aemt_000179,opt_000713,incorrect_option,The other actions delay patient-centered care.
rat_000892,q_aemt_000179,opt_000714,incorrect_option,The other actions delay patient-centered care.
rat_000893,q_aemt_000179,opt_000715,incorrect_option,The other actions delay patient-centered care.
rat_000894,q_aemt_000179,opt_000716,correct,"Deterioration requires reassessment, intervention, and communication."
rat_000895,q_aemt_000179,,teaching_point,Review Special Trauma and repeat a linked scenario if missed twice.
rat_000896,q_aemt_000180,opt_000717,correct,Trends and response guide receiving care.
rat_000897,q_aemt_000180,opt_000718,incorrect_option,The other options are irrelevant or unsafe.
rat_000898,q_aemt_000180,opt_000719,incorrect_option,The other options are irrelevant or unsafe.
rat_000899,q_aemt_000180,opt_000720,incorrect_option,The other options are irrelevant or unsafe.
rat_000900,q_aemt_000180,,teaching_point,Review Altered Mental Status and repeat a linked scenario if missed twice.
rat_000901,q_aemt_000181,opt_000721,correct,Airway compromise threatens oxygenation and ventilation first.
rat_000902,q_aemt_000181,opt_000722,incorrect_option,The other options may matter but are not the highest immediate priority.
rat_000903,q_aemt_000181,opt_000723,incorrect_option,The other options may matter but are not the highest immediate priority.
rat_000904,q_aemt_000181,opt_000724,incorrect_option,The other options may matter but are not the highest immediate priority.
rat_000905,q_aemt_000181,,teaching_point,Review Stroke and repeat a linked scenario if missed twice.
rat_000906,q_aemt_000182,opt_000725,incorrect_option,The distractors delay assessment or treatment.
rat_000907,q_aemt_000182,opt_000726,correct,Primary assessment and life threats come before detailed history.
rat_000908,q_aemt_000182,opt_000727,incorrect_option,The distractors delay assessment or treatment.
rat_000909,q_aemt_000182,opt_000728,incorrect_option,The distractors delay assessment or treatment.
rat_000910,q_aemt_000182,,teaching_point,Review Seizure and repeat a linked scenario if missed twice.
rat_000911,q_aemt_000183,opt_000729,correct,Hypotension and altered mental status suggest poor perfusion or serious illness.
rat_000912,q_aemt_000183,opt_000730,incorrect_option,The other choices alone do not carry the same immediate acuity.
rat_000913,q_aemt_000183,opt_000731,correct,Hypotension and altered mental status suggest poor perfusion or serious illness.
rat_000914,q_aemt_000183,opt_000732,incorrect_option,The other choices alone do not carry the same immediate acuity.
rat_000915,q_aemt_000183,,teaching_point,Review Diabetes and repeat a linked scenario if missed twice.
rat_000916,q_aemt_000184,opt_000733,incorrect_option,The other actions delay patient-centered care.
rat_000917,q_aemt_000184,opt_000734,incorrect_option,The other actions delay patient-centered care.
rat_000918,q_aemt_000184,opt_000735,incorrect_option,The other actions delay patient-centered care.
rat_000919,q_aemt_000184,opt_000736,correct,"Deterioration requires reassessment, intervention, and communication."
rat_000920,q_aemt_000184,,teaching_point,Review Toxicology and repeat a linked scenario if missed twice.
rat_000921,q_aemt_000185,opt_000737,correct,Trends and response guide receiving care.
rat_000922,q_aemt_000185,opt_000738,incorrect_option,The other options are irrelevant or unsafe.
rat_000923,q_aemt_000185,opt_000739,incorrect_option,The other options are irrelevant or unsafe.
rat_000924,q_aemt_000185,opt_000740,incorrect_option,The other options are irrelevant or unsafe.
rat_000925,q_aemt_000185,,teaching_point,Review Sepsis and repeat a linked scenario if missed twice.
rat_000926,q_aemt_000186,opt_000741,correct,Airway compromise threatens oxygenation and ventilation first.
rat_000927,q_aemt_000186,opt_000742,incorrect_option,The other options may matter but are not the highest immediate priority.
rat_000928,q_aemt_000186,opt_000743,incorrect_option,The other options may matter but are not the highest immediate priority.
rat_000929,q_aemt_000186,opt_000744,incorrect_option,The other options may matter but are not the highest immediate priority.
rat_000930,q_aemt_000186,,teaching_point,Review Abdominal Pain and repeat a linked scenario if missed twice.
rat_000931,q_aemt_000187,opt_000745,incorrect_option,The distractors delay assessment or treatment.
rat_000932,q_aemt_000187,opt_000746,correct,Primary assessment and life threats come before detailed history.
rat_000933,q_aemt_000187,opt_000747,incorrect_option,The distractors delay assessment or treatment.
rat_000934,q_aemt_000187,opt_000748,incorrect_option,The distractors delay assessment or treatment.
rat_000935,q_aemt_000187,,teaching_point,Review Renal and repeat a linked scenario if missed twice.
rat_000936,q_aemt_000188,opt_000749,correct,Hypotension and altered mental status suggest poor perfusion or serious illness.
rat_000937,q_aemt_000188,opt_000750,incorrect_option,The other choices alone do not carry the same immediate acuity.
